‫باب,باب,پدر (ن. ه.) ,  در خور,در ؛ زمینه ؛ بخش [سعدی گلستان را چون بهشت بهَشت باب نوشته] * مِن باب مثال ,
‫باجناغ / باجناق,باجناغ / باجناق ٫ همریش,همریش,‬,,
‫باده,باده,آب انگور تازه در خمره ریخته و هنوز نجوشیده,,‬,
‫باطل,‪  باطل,‪ ‬نادرست ؛ تباه ؛ تباهی ؛ بیهوده,,‬,
‫ باطل آباطیل,باطل,تباه ترین تباهی ها,,‬,
‫باطن,بطن,درون ؛ پنهان,,‬,
‫باطن بین,بطن,ژرف نگر ؛ درون بین,,‬,
‫بطن,بطن,درون,,‬,
‫باطری,باطری,باتری,,‬,
‫باطلاق,باطلاق,لجن زار,,‬,
‫باعث,باعث,شوند,,‬,
‫باقی,باقی,پایدار، پایا ، جاوید * دنیای باقی :  جهان پایدار    در برابر   دنیای فانی : جهان نا پایدار ؛ جهان گذرا  , بازمانده ؛ تتمه ,زنده,
‫ باقیمانده,باقی,مانده ؛ باز مانده,,‬,
‫باکره,باکره,دختر دست نخورده یا زناشویی نکرده ؛ دوشیزه,,‬,
‫بالاخره,بالاخره,سر انجام,,‬,
‫بالغ,بالغ,رسیده ؛ رسا ؛ کسیکه از خُردی در آمده و پای به نو جوانی گذاشته,,‬,
‫ بالغ بر,بالغ,بیش از,,‬,
‫بانی,بانی,بنیان گزار ؛ بر پا کننده,,‬,
‫بحر,بحر,دریا * بحر تفکر:  دریا ی اندیشه, عروض شعر که ۱۹ بحر است :  رجزـ رمل ـ طویل ـ متقارب ـ مدید ـ  بسیط ـ وافرـ کامل ـ هزج ـ منسرح ـ مضارع ـ‌مقتضب ـ مجتث ـ سریع ـ جدید - قریب ـ  خفیف ـ مشاکل ـ متقارب ـ  متدارک,‬,
‫بحران,بحران,پریشانی ؛ آشفتگی ؛ تنش,,‬,
‫بخالت,بخالت,پستی ؛ هرزگی ؛ لچری ؛ چشم تنگی ؛ نظر تنگی,,‬,
‫بَخ بَخ,بَخ بَخ,بَه بَه,,‬,
