ف,,,,,,,,,
فاتح,پیروز ؛ گشاینده,فتح,مفتوح,فتح الفتوح,,,,,
فتح,گشایش ؛ گشودن ؛ پیروزی,,,,,,,,
مفتوح,گشوده شده,,,,,,,,
فتح الفتوح,پیروزی پیروزی ها / بالاترین و بهترین پیروزی ها,,,,,,,,
فاحش,زیاد ؛ بسیار,فاحشه,فاحشه خانه,,,,,,
فاحشه,بد کاره ؛ خود فروش,,,,,,,,
فاحشه خانه,نجیب خانه ؛ جنده خانه,,,,,,,,
فاجعه,پیش آمد ناگوار,,,,,,,,
فاخر,گرانبها ؛ بسیار زیبا,,,,,,,,
فارغ,آسوده ؛  دست از کاری کشیده ؛ بی نیاز,فارغ التحصیل,فارغ الذهن,,,,,,
فارغ التحصیل,آموزش دیده ؛ دانش آموخته,,,,,,,,
فارغ الذهن,آسوده خاطر,,,,,,,,
فارق,شکاف دهنده ؛ جدا کننده  و سوا کننده حق و باطل (درست و نا درست) از یکدیگر,,,,,,,,
فاژ,خمیازه,فاژیدن,,,,,,,
فاژیدن,خمیازه کشیدن ؛  دهن دره کردن,,,,,,,,
فاسد,تبهکار,فاسد,از بین رفته ؛ تباه شده ؛ گندیده,فاسد الاخلاق,,,,,
فاسد الاخلاق,تبه کار ؛ زشتخوی,,,,,,,,
فاسق,تبهکار ؛ گناهکار ؛ مردی که با زن شوهر دار دوست است و به او مهر میورزد,,,,,,,,
فاش,آشکار ؛ همگانی,,,,,,,,
فاصل,جدا کنـــنده دو چیز از یکدیگر,فصل,انفصال,فیصله,,,,,
فیصله,مونث فیصل,,,,,,,,
فصل,جدا ؛ بخش,,,,,,,,
,,,,,,,,,
فاصله,مسافت ؛ اندازه بین دو چیز یا دو کس,فصول,فیصل,,,,,,
فصول,جدایی ها ؛ بخش ها,,,,,,,,
فیصل,داور ؛ شمشیر,,,,,,,,
فاضل,دانا ؛ دانشمند,فضل,تَفَضُل,فضیلت,فضله,,,,
فضل,دانش,,,,,,,,
فضیلت,برتری,,,,,,,,
فضله,باز مانده,,,,,,,,
فضول,آنچه از بدن بیرون آید,فاضله,افضل,,,,,,
فاضله,بانوی دانا و آگاه,,,,,,,,
افضل,بر تر ؛ دانا تر,,,,,,,,
*****,,,,,,,,,
فضاحت,رسوایی ؛ آبرو ریزی,فضیحت,افتضاح,مُفتَضح,,,,,
فضیحت,رسوایی,,,,,,,,
افتضاح,رسوایی ؛ بی آبرویی,,,,,,,,
مُفتَضح,بی آبرو  ؛ آبرو باخته ؛ رسوا,,,,,,,,
****,,,,,,,,,
فاعل,کننده ؛ انجام دهنده,فعل,فعلی,مفعول,فعلاّ,استفعال,مفاعله,تفعیل,
فعل,کردن ؛ کنش,,,,,,,,
فعلی,کنونی,,,,,,,,
مفعول,بجا آورده شده ؛ کرده شده,,,,,,,,
فعلاّ,اکنون,,,,,,,,
استفعال,در خواست کردن کاری,,,,,,,,
مفاعله,باهم کار کردن,,,,,,,,
تفعیل,انجام کنش یا کار,,,,,,,,
فال,پیش بینی ؛ پیشگویی,تفال,,,,,,,
تفال,فال گرفتن ؛ پیش بینی کردن,,,,,,,,
فام,وام,,,,,,,,
فام,رنگ ؛ گونه ؛ چند گونگی,,,,,,,,
فامیل,(فرانگل),خانواده ؛ پیوند,فامیلی (فرانگل),اسم فامیلی (عر – فرانگل),,,,,
فامیلی (فرانگل),خانوادگی ؛,,,,,,,,
اسم فامیلی (عر – فرانگل),نام خانوادگی,,,,,,,,
فایده,سود؛ بهره,مفید,,,,,,,
مفید,بدرد خور ؛ سود بخش,استفاده,سود بردن ؛ بکار بردن,,,,,,
فایل (انگل),پرونده,,,,,,,,
فتق,برجستگی ؛ بر آمده ؛ ور آمده ؛ بسته,رتق و فتق,,,,,,,
رتق و فتق,بستن و گشودن,,,,,,,,
***,,,,,,,,,
فتّان,افسونگر ؛ سخت فتنه جو,فتـانه,فتنه انگیـزی,مُفَتّن,فتانت,فتّان,فتنگی,مفتون,
فتـانه,,,,,,,,,
فتنه انگیـزی,آتش روشن کـردن,,,,,,,,
مُفَتّن,فتنه انگیز,,,,,,,,
فتانت,آشوبگری,,,,,,,,
فتّان,سخت آشوبگر,,,,,,,,
فتنگی,گمراهی ؛ آشوبگری,,,,,,,,
مفتون,واله و شیدا ؛ شیفته,,,,,,,,
تفنن,گوناگونی ؛ سر گرمی,فتانه,,,,,,,
فتانه,آشوبگر ؛ زیبا,دلداده,,,,,,,
فتنه,آزمودن ؛ آزمایش ؛ گمراه  کردن ؛ گناه ورزی ؛ گناه ؛ گمراه کردن,جنگ و ستیز ؛ آشوبــگری,,,,,,,
فجیع,دردناک ؛ جانگداز,,,,,,,,
فخر,نازش ؛ بالش,فخر کردن,,,,,,,
فخر کردن,نازیدن ؛ بالیدن,,,,,,,,
فرار,گریز ؛ گریختن,فرار کردن,فراری,,,,,,
فرار کردن,گریختن ؛ در رفتن,,,,,,,,
فراری,گریخته ؛ گریزنده ؛ گریزان,,,,,,,,
فراست,هوشیاری ؛ زرنگی ؛ زیرکی,,,,,,,,
فَراغ,خالی شدن؛ تهی گشتن، ریخته شدن آب، آسوده شدن، آسایش,فراغت,آسایش ؛ آسودگی,,,,,,
فِراق,دوری ؛ جدایی,,,,,,,,
فراماسونری (فرا),فراموشخانه,,,,,,,,
فردی,کَسی ؛ یک کَس ؛ کَسی,,,,,,,,
فَرَج,گشودگی ؛ گشایش,فَرج,فُرجه,,,,,,
فَرج,بخش بیرونی شرمگاه زن,,,,,,,,
فُرجه,رخنه ؛ شکاف ؛ گشادگی ؛ سوراخ,,,,,,,,
فُرچه,در گشته برای ریش تراشی بکار میرفته است,,,,,,,,
فرش,گستردنی ؛ هر چیز گستردنی بر روی زمین ما نند قالی ؛ نمد ؛ سنگ . موکت ؛ موزاییک,,,,,,,,
فرصت,مجال,,,,,,,,
فرض,انگار (اک) ؛ گُمان ؛ انگار,فرضیّه,فرض کردن,,,,,,
فرضیّه,انگاره (اط) ؛ گمانه ؛  نگره ؛ پنداره,,,,,,,,
فرض کردن,انگاریدن   (گیریم ؛ انگاریم),,,,,,,,
فرع,بهره پول,,,,,,,,
فرع,شاخه ؛ نتیجه ؛,فروع,فروع و اصول,,,,,,
فروع,شاخه ها,,,,,,,,
فروع و اصول,شاخه ها و ریشه ها [ تنه ها ],,,,,,,,
فرق,توفیر ؛ جدایی ؛ اختلاف,,,,,,,,
فرکانس (فرا),شیوش (دکتر حسابی),,,,,,,,
فُرمالیته (فر),ظاهر سازی ؛ ماستمالی,,,,,,,,
